"A","B","C","D","board start","board end","lvl","path",,,,,,,,,,,,,,,,,,,
0,13,11,4,"A***D******C*B* ","****ABCD** *****",20,15,14,10,9,13,14,10,6,5,4,0,1,2,6,5,9,10,11,7,6
0,14,1,8,"AC******D*****B "," A***B***C***D**",20,15,11,10,14,13,9,8,12,13,9,5,1,2,6,10,9,5,6,2,1
0,14,2,1,"ADC***********B "," ***ABCD********",20,15,11,10,14,13,9,10,6,2,1,5,6,2,3,7,6,5,9,8,4
0,14,2,8,"A*C*****D*****B ","** *ABCD********",20,15,11,10,14,13,9,8,4,0,1,5,9,10,6,5,9,10,11,7,6
0,14,3,9,"A**C*****D****B "," A***B***C***D**",20,15,11,7,3,2,6,7,11,10,14,13,9,10,6,5,9,10,6,2,1
0,14,7,12,"A******C****D*B "," A***B***C***D**",20,15,11,10,14,13,12,8,9,10,6,7,11,10,6,5,9,10,6,2,1
0,14,9,1,"AD*******C****B ","*A***B***C **D**",20,15,11,10,9,5,1,0,4,8,9,5,6,10,14,13,9,10,6,5,9
0,14,10,1,"AD********C***B ","*A***B***C **D**",20,15,11,7,6,5,1,0,4,8,9,5,6,10,14,13,9,10,6,5,9
0,14,10,4,"A***D*****C***B ","****ABCD** *****",20,15,11,10,14,13,9,10,6,5,4,0,1,2,6,5,9,10,11,7,6
0,14,13,4,"A***D********CB ","A***B **C***D***",20,15,11,10,9,13,14,10,6,5,9,13,12,8,4,5,9,13,12,8,4
1,0,3,8,"BA*C****D****** ","** *ABCD********",20,15,14,13,9,8,4,5,9,10,6,5,1,0,4,5,1,2,3,7,6
1,0,3,12,"BA*C********D** ","** A**B**C**D***",20,15,11,7,3,2,1,0,4,5,6,7,3,2,1,5,6,10,9,5,6
1,0,7,4,"BA**D**C******* ","** *ABCD********",20,15,14,13,9,5,4,0,1,2,3,7,6,5,4,0,1,2,3,7,6
1,0,13,2,"BAD**********C* "," ***ABCD********",20,15,14,10,9,13,12,8,4,0,1,5,9,10,6,2,3,7,6,5,4
1,2,0,4,"CAB*D********** ","A***B **C***D***",20,15,14,13,12,8,4,0,1,5,6,2,1,5,6,10,14,13,12,8,4
1,2,3,8,"*ABC****D****** ","ABCD*** ********",20,15,14,13,9,8,4,0,1,2,6,10,9,5,6,10,11,7,6,2,3
1,2,4,0,"DAB*C********** ","ABCD* **********",20,15,14,13,9,5,1,0,4,5,6,2,1,0,4,5,6,7,3,2,1
1,2,7,0,"DAB****C******* ","** *ABCD********",20,15,14,13,9,5,1,0,4,5,1,2,3,7,6,5,1,2,3,7,6
1,2,11,0,"DAB********C*** ","****ABCD** *****",20,15,14,10,11,7,6,5,1,0,4,5,6,2,1,5,6,2,3,7,6
1,2,12,4,"*AB*D*******C** ","***A**B* C**D***",20,15,14,13,12,8,4,5,6,2,1,5,6,7,3,2,6,5,9,13,12
1,2,14,0,"DAB***********C ","****ABCD** *****",20,15,11,10,14,13,9,5,1,0,4,5,6,2,1,5,6,2,3,7,6
1,3,0,8,"CA*B****D****** ","A***B **C***D***",20,15,14,13,12,8,4,0,1,2,3,7,6,2,1,5,6,10,9,8,4
1,3,7,4,"*A*BD**C******* ","ABCD*** ********",20,15,14,13,9,5,4,0,1,2,6,5,1,2,3,7,6,5,1,2,3
1,3,7,8,"*A*B***CD****** ","** A**B**C**D***",20,15,14,13,12,8,9,10,6,7,3,2,1,5,6,10,9,5,6,7,3
1,3,11,4,"*A*BD******C*** ","**A***B **C***D*",20,15,14,10,11,7,3,2,1,5,4,8,9,5,6,10,9,13,14,10,6
1,3,12,4,"*A*BD*******C** ","*A***B** C***D**",20,15,11,7,3,2,6,7,11,10,9,8,4,5,6,10,9,8,12,13,9
1,3,12,11,"*A*B*******DC** ","**A***B **C***D*",20,15,14,13,12,8,9,10,11,7,3,2,1,5,9,13,14,10,9,5,6
1,3,14,4,"*A*BD*********C ","*A***B***C **D**",20,15,11,7,3,2,6,7,11,10,9,5,4,8,9,5,6,10,14,13,9
1,4,8,2,"*AD*B***C****** ","ABCD* **********",20,15,14,13,9,8,4,5,9,8,4,0,1,5,9,10,11,7,3,2,1
1,4,10,0,"DA**B*****C**** ","*A***B***C **D**",20,15,14,13,9,5,4,0,1,5,4,8,9,5,1,0,4,8,12,13,9
1,4,12,0,"DA**B*******C** ","A***B***C***D **",20,15,14,13,9,8,4,0,1,5,4,8,9,5,6,10,14,13,9,8,12
1,4,12,2,"*AD*B*******C** ","*A***B** C***D**",20,15,14,10,6,2,3,7,11,10,9,5,6,10,9,5,4,8,12,13,9
1,4,12,3,"*A*DB*******C** ","*A***B** C***D**",20,15,11,7,3,2,6,7,11,10,9,5,6,10,9,5,4,8,12,13,9
1,4,13,3,"*A*DB********C* ","ABCD* **********",20,15,14,10,9,13,12,8,4,5,9,8,4,0,1,5,9,10,6,2,1
1,5,3,0,"DA*C*B********* ","** *ABCD********",20,15,14,13,9,5,1,0,4,5,6,2,1,5,9,10,6,2,3,7,6
1,5,4,0,"DA**CB********* "," A***B***C***D**",20,15,14,13,12,8,4,0,1,5,9,8,4,5,9,8,12,13,9,5,1
1,5,7,0,"DA***B*C******* ","****ABCD** *****",20,15,11,7,6,10,9,5,1,0,4,5,1,2,6,5,9,10,11,7,6
1,5,12,3,"*A*D*B******C** ","ABCD* **********",20,15,14,13,12,8,9,13,14,10,6,5,9,8,4,0,1,5,6,2,1
1,5,14,0,"DA***B********C ","****ABCD** *****",20,15,11,10,9,5,1,0,4,5,1,2,6,5,9,10,14,15,11,7,6
1,6,3,8,"*A*C**B*D****** ","**A** B***C***D*",20,15,11,7,3,2,1,5,9,8,4,5,6,7,11,10,9,13,14,10,6
1,6,5,0,"DA***CB******** ","A***B **C***D***",20,15,14,13,9,5,4,0,1,5,9,8,4,5,6,10,14,13,12,8,4
1,6,8,0,"DA****B*C****** ","A***B **C***D***",20,15,14,13,9,8,4,0,1,5,9,8,4,5,6,10,14,13,12,8,4
1,6,10,0,"DA****B***C**** ","*A***B***C **D**",20,15,14,10,6,2,1,0,4,5,1,2,6,10,9,5,6,10,14,13,9
1,6,12,2,"*AD***B*****C** ","****ABCD** *****",20,15,14,13,12,8,9,13,14,10,9,5,1,0,4,5,6,2,3,7,6
1,6,14,0,"DA****B*******C ","*A***B***C **D**",20,15,11,10,6,2,1,0,4,5,1,2,6,10,9,5,6,10,14,13,9
1,7,0,4,"CA**D**B******* ","A***B **C***D***",20,15,14,10,6,7,11,10,9,8,4,0,1,5,6,10,14,13,12,8,4
1,7,0,6,"CA****DB******* ","** *ABCD********",20,15,14,10,6,5,1,0,4,5,6,7,3,2,1,5,6,10,11,7,6
1,7,0,8,"CA*****BD****** ","A***B **C***D***",20,15,14,13,12,8,4,0,1,5,6,7,11,10,9,5,6,10,9,8,4
1,7,2,0,"DAC****B******* ","** *ABCD********",20,15,14,13,9,5,1,0,4,5,6,7,3,2,1,5,6,2,3,7,6
1,7,3,4,"*A*CD**B******* ","**A***B **C***D*",20,15,11,7,3,2,1,5,4,8,9,5,6,7,11,10,9,13,14,10,6
1,7,3,8,"*A*C***BD****** ","**A***B***C** D*",20,15,11,7,3,2,1,5,9,8,12,13,9,10,11,7,6,10,11,15,14
1,7,6,0,"DA****CB******* ","****ABCD** *****",20,15,14,10,6,5,1,0,4,5,6,7,3,2,1,5,6,2,3,7,6
1,7,8,3,"*A*D***BC****** ","ABCD* **********",20,15,14,10,6,7,11,10,9,8,4,5,9,8,4,0,1,5,6,2,1
1,7,9,0,"DA*****B*C***** ","****ABCD** *****",20,15,14,10,9,5,1,0,4,5,6,7,3,2,1,5,6,2,3,7,6
1,7,10,0,"DA*****B**C**** ","****ABCD** *****",20,15,14,13,9,5,1,0,4,5,6,7,3,2,1,5,6,2,3,7,6
1,8,2,4,"*AC*D***B****** ","*A***B***C **D**",20,15,14,13,9,8,4,5,6,2,3,7,11,10,6,5,9,8,12,13,9
1,8,3,4,"*A*CD***B****** ","*A***B***C **D**",20,15,11,7,3,2,6,7,11,10,6,5,9,8,4,5,9,8,12,13,9
1,8,6,0,"DA****C*B****** ","** *ABCD********",20,15,14,13,9,8,4,5,1,0,4,5,1,2,6,5,9,10,11,7,6
1,8,11,0,"DA******B**C*** ","****ABCD** *****",20,15,14,13,9,8,4,5,1,0,4,5,1,2,6,5,9,10,11,7,6
1,8,13,3,"*A*D****B****C* ","****ABCD** *****",20,15,14,13,9,8,4,5,1,0,4,5,9,10,14,15,11,7,3,2,6
1,8,14,2,"*AD*****B*****C ","*A***B***C **D**",20,15,11,10,9,8,4,5,6,2,3,7,11,10,6,5,9,10,14,13,9
1,9,2,4,"*AC*D****B***** ","*A***B***C **D**",20,15,14,13,12,8,4,5,6,2,3,7,11,10,6,5,9,8,12,13,9
1,9,3,0,"DA*C*****B***** ","** *ABCD********",20,15,14,10,6,5,1,0,4,5,6,2,1,5,9,10,6,2,3,7,6
1,9,3,4,"*A*CD****B***** ","** *ABCD********",20,15,14,10,6,5,4,0,1,2,6,5,9,8,4,0,1,2,3,7,6
1,9,12,3,"*A*D*****B**C** ","*A***B** C***D**",20,15,11,7,3,2,6,7,11,10,6,5,9,8,12,13,9,10,14,13,9
1,9,14,0,"DA*******B****C ","****ABCD** *****",20,15,11,10,6,5,1,0,4,5,1,2,6,5,9,10,14,15,11,7,6
1,10,2,4,"*AC*D*****B**** ","** *ABCD********",20,15,14,13,9,5,4,8,9,10,6,5,1,0,4,5,9,10,11,7,6
1,10,3,8,"*A*C****D*B**** ","*A***B***C **D**",20,15,14,13,9,10,11,7,3,2,6,7,11,10,6,5,9,8,12,13,9
1,10,8,0,"DA******C*B**** ","*A***B** C***D**",20,15,11,7,6,2,1,0,4,5,1,2,6,10,9,5,6,10,14,13,9
1,10,11,0,"DA********BC*** ","****ABCD** *****",20,15,14,13,9,10,6,5,1,0,4,5,1,2,6,5,9,10,11,7,6
1,10,14,0,"DA********B***C ","*A***B***C **D**",20,15,11,7,6,2,1,0,4,5,1,2,6,10,9,5,6,10,14,13,9
1,11,0,3,"CA*D*******B*** ","** *ABCD********",20,15,14,13,9,5,1,0,4,5,6,7,11,10,6,7,3,2,1,5,6
1,11,0,4,"CA**D******B*** ","A***B **C***D***",20,15,14,10,11,7,6,10,9,8,4,0,1,5,6,10,14,13,12,8,4
1,11,0,8,"CA******D**B*** ","A***B **C***D***",20,15,14,10,11,15,14,13,12,8,9,10,6,5,4,0,1,5,9,8,4
1,11,2,8,"*AC*****D**B*** ","***A* B**C**D***",20,15,14,13,12,8,9,10,11,7,6,2,1,5,6,7,3,2,6,10,9
1,11,8,3,"*A*D****C**B*** ","ABCD* **********",20,15,14,10,11,7,6,10,9,8,4,5,9,8,4,0,1,5,6,2,1
1,11,13,3,"*A*D*******B*C* ","****ABCD** *****",20,15,14,13,9,10,11,7,3,2,6,10,14,13,9,5,1,0,4,5,6
1,12,0,5,"CA***D******B** ","A***B **C***D***",20,15,14,13,12,8,9,5,4,8,9,13,12,8,4,0,1,5,9,8,4
1,12,0,10,"CA********D*B** ","A***B **C***D***",20,15,14,13,9,10,14,13,12,8,9,13,12,8,4,0,1,5,9,8,4
1,12,2,5,"*AC**D******B** ","** *ABCD********",20,15,14,13,12,8,9,13,14,10,6,5,1,0,4,5,9,10,11,7,6
1,12,2,8,"*AC*****D***B** ","*A***B***C **D**",20,15,14,13,12,8,9,13,12,8,4,5,6,2,3,7,11,10,6,5,9
1,12,3,7,"*A*C***D****B** ","ABCD*** ********",20,15,14,13,12,8,9,13,14,10,6,5,9,8,4,0,1,5,6,2,3
1,12,3,8,"*A*C****D***B** ","*A***B***C **D**",20,15,11,7,3,2,6,7,11,10,6,5,9,8,12,13,9,8,4,5,9
1,12,3,9,"*A*C*****D**B** ","*A***B***C **D**",20,15,11,7,3,2,6,7,11,10,6,5,4,8,12,13,9,8,4,5,9
1,12,3,10,"*A*C******D*B** ","**A** B***C***D*",20,15,14,13,12,8,9,13,14,10,6,2,3,7,6,2,1,5,9,10,6
1,12,3,13,"*A*C********BD* ","*A***B***C **D**",20,15,14,13,12,8,9,13,14,15,11,7,3,2,6,7,11,10,6,5,9
1,12,3,14,"*A*C********B*D ","*A***B***C **D**",20,15,11,7,3,2,6,7,11,10,9,13,12,8,9,13,14,10,6,5,9
1,12,4,3,"*A*DC*******B** ","ABCD* **********",20,15,14,13,12,8,9,13,14,10,6,5,4,0,1,5,9,10,6,2,1
1,12,6,2,"*AD***C*****B** ","ABCD* **********",20,15,14,13,12,8,9,13,14,15,11,7,3,2,6,5,9,8,4,0,1
1,12,7,2,"*AD****C****B** ","ABCD* **********",20,15,14,13,12,8,9,13,14,10,6,7,3,2,6,5,9,8,4,0,1
1,12,7,5,"*A***D*C****B** ","*A***B***C **D**",20,15,14,13,9,5,6,7,11,10,6,5,4,8,12,13,9,8,4,5,9
1,12,9,0,"DA*******C**B** ","A***B **C***D***",20,15,14,13,12,8,4,0,1,5,9,13,12,8,4,5,9,13,12,8,4
1,12,10,2,"*AD*******C*B** ","***D**C**B**A **",20,15,11,7,3,2,6,5,1,2,6,10,9,5,4,8,12,13,9,8,12
1,12,11,3,"*A*D*******CB** ","***D**C**B**A **",20,15,14,10,11,7,6,5,1,2,6,10,9,5,4,8,12,13,9,8,12
1,12,11,4,"*A**D******CB** ","*A***B***C **D**",20,15,14,13,12,8,4,5,9,13,14,10,11,7,6,5,9,8,12,13,9
1,12,14,3,"*A*D********B*C ","***D**C* B**A***",20,15,11,10,14,13,12,8,9,5,1,2,6,10,9,5,4,8,9,13,12
1,13,0,3,"CA*D*********B* ","***D**C* B**A***",20,15,14,10,9,5,1,0,4,8,9,5,1,2,6,5,4,8,9,13,12
1,13,0,10,"CA********D**B* "," A***B***C***D**",20,15,14,10,9,13,14,10,6,5,9,8,4,0,1,5,4,8,9,5,1
1,13,2,8,"*AC*****D****B* ","**A** B***C***D*",20,15,14,13,9,8,12,13,14,10,9,13,14,10,6,2,1,5,9,10,6
1,13,3,2,"*ADC*********B* ","** *ABCD********",20,15,14,10,9,13,14,10,6,5,1,0,4,5,9,10,6,2,3,7,6
1,13,3,8,"*A*C****D****B* ","*A***B***C **D**",20,15,11,7,3,2,6,7,11,10,9,13,14,10,6,5,9,8,12,13,9
1,13,4,2,"*AD*C********B* ","ABCD* **********",20,15,14,10,9,13,14,10,6,5,4,0,1,5,9,10,11,7,3,2,1
1,13,5,0,"DA***C*******B* ","A***B **C***D***",20,15,14,10,9,5,4,0,1,5,9,13,12,8,4,5,9,13,12,8,4
1,13,7,4,"*A**D**C*****B* ","*A***B***C **D**",20,15,14,13,9,5,4,8,9,5,6,7,11,10,14,13,9,10,6,5,9
1,13,8,0,"DA******C****B* ","A***B **C***D***",20,15,14,10,9,8,4,0,1,5,9,13,12,8,4,5,9,13,12,8,4
1,13,8,2,"*AD*****C****B* ","*A***B** C***D**",20,15,14,10,9,13,14,10,6,2,3,7,11,10,6,5,9,10,14,13,9
1,13,8,3,"*A*D****C****B* ","ABCD* **********",20,15,14,10,9,8,4,5,9,13,12,8,4,0,1,5,9,10,6,2,1
1,13,9,0,"DA*******C***B* ","A***B **C***D***",20,15,14,10,6,5,4,0,1,5,9,13,12,8,4,5,9,13,12,8,4
1,14,0,3,"CA*D**********B ","** *ABCD********",20,15,11,10,14,13,9,5,1,0,4,5,6,10,11,7,3,2,1,5,6
1,14,0,4,"CA**D*********B ","A***B **C***D***",20,15,11,10,14,13,12,8,4,0,1,5,9,10,6,5,9,13,12,8,4
1,14,2,8,"*AC*****D*****B ","***A* B**C**D***",20,15,11,10,14,13,12,8,9,5,6,2,1,5,6,7,3,2,6,10,9
1,14,3,8,"*A*C****D*****B ","*A***B***C **D**",20,15,11,7,3,2,6,7,11,10,14,13,9,10,6,5,9,8,12,13,9
1,14,4,2,"*AD*C*********B ","ABCD* **********",20,15,11,10,14,15,11,7,6,10,9,5,4,0,1,5,6,7,3,2,1
1,14,7,4,"*A**D**C******B ","*A***B***C **D**",20,15,11,10,9,5,4,8,9,5,6,7,11,10,14,13,9,10,6,5,9
1,14,8,2,"*AD*****C*****B ","*A***B** C***D**",20,15,11,10,14,13,9,10,6,2,3,7,11,10,6,5,9,10,14,13,9
1,14,8,3,"*A*D****C*****B ","*A***B** C***D**",20,15,11,7,3,2,6,7,11,10,14,13,9,10,6,5,9,10,14,13,9
1,14,11,3,"*A*D*******C**B ","****ABCD** *****",20,15,11,10,14,15,11,7,3,2,6,10,14,13,9,5,1,0,4,5,6
1,14,11,4,"*A**D******C**B ","*A***B***C **D**",20,15,11,10,14,15,11,7,6,10,9,5,4,8,9,5,6,10,14,13,9
1,14,13,2,"*AD**********CB ","*A***B***C **D**",20,15,11,10,14,13,9,10,6,2,3,7,11,10,6,5,9,10,14,13,9
1,14,13,3,"*A*D*********CB ","***D**C* B**A***",20,15,11,10,9,13,14,10,9,5,1,2,6,10,9,5,4,8,9,13,12
2,0,3,5,"B*AC*D********* "," ***ABCD********",20,15,14,10,6,5,1,2,3,7,6,5,4,0,1,5,6,2,1,5,4
2,0,3,9,"B*AC*****D***** ","*A **B***C***D**",20,15,14,13,9,5,1,2,3,7,6,2,1,0,4,5,6,10,9,5,1
2,0,3,13,"B*AC*********D* ","**A** B***C***D*",20,15,14,13,12,8,4,0,1,2,3,7,6,2,1,5,4,8,9,10,6
2,0,7,8,"B*A****CD****** ","*A***B***C **D**",20,15,14,13,9,8,4,0,1,2,6,7,11,10,6,5,4,8,12,13,9
2,0,8,3,"B*AD****C****** ","ABCD* **********",20,15,14,13,9,8,4,5,9,10,6,5,4,0,1,2,6,5,4,0,1
2,0,11,1,"BDA********C*** ","*A***B***C **D**",20,15,14,13,9,5,1,0,4,8,9,5,1,2,6,10,11,15,14,13,9
2,0,12,1,"BDA*********C** ","*A***B** C***D**",20,15,14,13,9,5,1,0,4,8,12,13,9,5,1,2,6,10,14,13,9
2,0,14,3,"B*AD**********C ","ABCD* **********",20,15,11,10,14,15,11,7,6,10,9,8,4,0,1,2,6,5,4,0,1
2,0,14,4,"B*A*D*********C ","*A***B***C **D**",20,15,11,10,9,5,4,8,9,5,1,0,4,5,1,2,6,10,14,13,9
2,1,0,3,"CBAD*********** ","ABCD* **********",20,15,14,10,6,2,1,0,4,5,6,2,1,5,6,10,9,8,4,0,1
2,1,3,0,"DBAC*********** ","** *ABCD********",20,15,14,10,6,2,1,0,4,5,6,2,1,0,4,5,6,2,3,7,6
2,1,3,4,"*BACD********** ","** *ABCD********",20,15,14,13,9,5,4,0,1,2,6,5,1,0,4,5,1,2,3,7,6
2,1,3,8,"*BAC****D****** ","***A**B**C *D***",20,15,11,7,3,2,6,7,11,10,6,5,1,2,6,5,9,13,12,8,9
2,1,5,0,"DBA**C********* ","*A***B***C **D**",20,15,14,13,9,5,1,0,4,5,1,2,6,10,9,5,4,8,12,13,9
