A,B,C,D,board start,board end,lvl,path
13,3,8,0,"D**B****C****A* ","*A***B **C***D**",29,15,11,10,9,8,4,0,1,2,3,7,6,10,9,13,12,8,4,5,9,8,12,13,9,10,6,2,1,5
14,3,1,0,"DC*B**********A ","* **ABCD********",29,15,11,10,14,13,9,10,6,2,1,0,4,5,1,2,3,7,6,5,1,2,3,7,6,5,9,8,4,5
14,3,4,0,"D**BC*********A ","*A***B **C***D**",29,15,11,10,14,13,9,8,4,0,1,2,3,7,6,10,9,8,4,5,9,8,12,13,9,5,6,2,1,5
14,3,5,0,"D**B*C********A ","*A***B **C***D**",29,15,11,7,6,5,1,0,4,5,1,2,3,7,11,10,14,13,9,5,6,10,14,13,9,5,6,2,1,5
14,3,6,0,"D**B**C*******A ","*A***B **C***D**",29,15,11,10,9,5,1,0,4,5,1,2,3,7,11,10,14,13,9,5,6,10,14,13,9,5,6,2,1,5
14,3,11,0,"D**B*******C**A ","**A***B***C **D*",29,15,11,7,3,2,1,0,4,5,1,2,6,10,14,13,9,5,6,10,9,5,1,2,6,7,11,15,14,10
14,3,12,0,"D**B********C*A ","**A***B** C***D*",29,15,11,10,14,13,12,8,4,0,1,5,4,8,9,5,6,10,9,13,14,10,11,7,3,2,6,7,11,10
14,8,11,0,"D*******B**C**A ","*********** ABCD",29,15,11,10,9,8,4,0,1,5,4,8,12,13,14,10,6,5,4,8,12,13,9,10,6,7,11,10,14,15
14,11,0,4,"C***D******B**A ","*A***B **C***D**",29,15,11,10,14,15,11,7,6,10,14,13,9,8,4,5,6,10,9,8,4,0,1,5,4,8,12,13,9,5
14,11,3,0,"D**C*******B**A ","****** *ABCD****",29,15,11,10,14,15,11,7,3,2,1,0,4,5,1,2,6,5,9,10,14,13,12,8,9,10,6,7,11,10
14,11,3,4,"***CD******B**A ","****** *ABCD****",29,15,11,10,14,15,11,7,3,2,1,5,4,0,1,2,6,5,9,10,14,13,12,8,9,10,6,7,11,10
14,11,5,0,"D****C*****B**A ","**A***B** C***D*",29,15,11,10,14,15,11,7,6,10,9,5,1,0,4,5,1,2,6,10,14,13,9,5,6,10,9,13,14,10
14,11,6,0,"D*****C****B**A ","****** *ABCD****",29,15,11,10,14,15,11,7,6,2,1,0,4,5,1,2,6,5,9,10,14,13,12,8,9,10,6,7,11,10
14,11,9,0,"D********C*B**A ","**A***B** C***D*",29,15,11,10,14,15,11,7,6,10,14,13,9,8,4,0,1,5,4,8,9,5,1,2,6,10,9,13,14,10
14,11,12,0,"D**********BC*A ","**A***B** C***D*",29,15,11,10,14,15,11,7,6,10,14,13,12,8,4,0,1,5,4,8,9,5,1,2,6,10,9,13,14,10
